SWEEP source_root=docs/evidence excluded=docs/evidence/agent_fleet/EVIDENCE_INTEGRITY_SWEEP (self-exclusion per PREREGISTRATION.txt P1)
status	class	recorded	src	target	note
MISMATCH	C4	40dac38be03a73bec0a7ffea7f0c9d4b9a59df2fbd065013321eefd407d4dfe9	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/AGENT_BOOTSTRAP_READINESS.md	computed=6685b99f38610da701e64546eb3f78b2ab5e03017736bbbd241ee49ba6196d40
MISMATCH	C4	938f02eb5a118d55ddb0026b9c8256fe5332fccb899f321687a4fb6bf8c6c80e	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/AGENT_START.md	computed=385917a3d4fcd3b96d4fa77f6c74a5c76baf0a89f7b34cc2f34ceef63688fa59
MISMATCH	C4	15179eb375ff9d42d11c51e10af53e3896e2a1d43179723a6574782ae2e24040	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/THE_AGENT_FLEET.md	computed=ac41193b269ca4476fabc23b35b87f7bf98955084b3299de39d2e6cec87a6346
MISMATCH	C4	44912dcad0e8759cc9907d975387f34f7ad371e89f7285bbe8b56f64a36e1d1e	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/THE_HOLODECK_BLUEPRINT.md	computed=ff234db07ae8fa8bb7b49a4b0ca15663a733fd41d18d5d9dd4be75368029faa1
MISMATCH	C4	4410bdfb6ecc05e3c539466a05c00bc92595da0fd53abcbe40660a8ed7e7fc08	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/THE_MASTER_LIST.md	computed=848c25a4ff92eb4de1e65288e6187b0dbf8d12aa430044afb8f0762fdaba5b51
MISMATCH	C4	c71966d31ec8ec5348a53d3fa44741892bfcf297b66e32a2e0ec72b0e55799e9	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/evidence/agent_fleet/DOCUMENTATION_INDEX.json	computed=f035751b568e6de5389d3b9c661691e5eff5768dfadd39daf12dbd4643a2520c
MISMATCH	C4	b627b0b611f02bc340c7d3e999d34eb8aacab5bb62ebce8734aaf4d618b8f198	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/evidence/agent_fleet/DOCUMENTATION_REVIEW.md	computed=a8feb176cd81e6050c14506b259a41d2be852a80afb2b3a0e6b8b98696d49fbb
MISMATCH	C4	a06b6ca019a2c3c8d55af855358c7814299aadebb3bd10a5b108c89df5d8873d	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/evidence/agent_fleet/PREREGISTRATION.md	computed=f35b9b7f0ded049c724f5fe6c7565a3c8e3cae0cddf53dda7fa5b2179123935d
MISMATCH	C4	c5e21412c8a21d89fd74d2d3ed4318d121fbe9f44d8b56eb8f3d8390846908a2	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/evidence/agent_fleet/result.json	computed=eddc6e207d3fb63f98b5a8eb30c88fe09ffa26853c9f7bee0882985b49595d29
MISMATCH	C4	d3c405aab62a4c03497aea1590186a5d37394a8ee33e8b2b60399b637ce4e62b	docs/evidence/agent_fleet/MANIFEST.json:key:sha256 via:path	docs/evidence/agent_fleet/tests_linux.txt	computed=f24209169281b82f01fc1f148f10b781d5bdd5bd792b4250fc3f457d126764b7
