regime,iter,cold,request,submit_entry,submit_return,fwait_entry,fwait_return,invalidate_entry,invalidate_return,first_read,memcpy_done,swizzle_done,consumer,gpu_ts_retrieved,backlog_submit_entry,backlog_submit_return,witness_submit_entry,witness_submit_return,witness_first_signaled,gpu_ts0_ns,gpu_ts1_ns,witness_already_done,witness_observed
img8M_full_idle,0,1,284206700,284206700,284226000,284226000,362692300,362692300,362692300,362692900,363081000,364056000,370130700,370133600,0,0,0,0,0,1789425268795377920,1789425268795690496,0,0
img8M_full_idle,1,0,370143700,370143700,370173000,370173000,371054100,371054100,371054100,371054600,371424700,372384400,378530500,378532300,0,0,0,0,0,1789425268803753984,1789425268804066816,0,0
img8M_full_idle,2,0,378541500,378541500,378566100,378566200,379594500,379594500,379594500,379594900,379963700,380921800,386982500,386984300,0,0,0,0,0,1789425268812290304,1789425268812602880,0,0
img8M_full_idle,3,0,386993900,386993900,387021100,387021200,387882900,387882900,387882900,387883200,388245000,389217600,395346200,395348800,0,0,0,0,0,1789425268820581888,1789425268820894720,0,0
img8M_full_idle,4,0,395359200,395359200,395396900,395396900,396295400,396295400,396295400,396295700,396707000,397700800,403786300,403788500,0,0,0,0,0,1789425268828993792,1789425268829306624,0,0
img8M_full_idle,5,0,403798000,403798100,403828600,403828600,404632100,404632100,404632100,404632400,405008700,406004200,412143900,412146200,0,0,0,0,0,1789425268837333760,1789425268837646336,0,0
img8M_full_idle,6,0,412156900,412156900,412183500,412183500,413077800,413077800,413077800,413078200,413454700,414438700,420554900,420557500,0,0,0,0,0,1789425268845777152,1789425268846089728,0,0
img8M_full_idle,7,0,420568500,420568500,420603300,420603300,421317700,421317700,421317700,421318200,421693500,422732500,428808000,428810400,0,0,0,0,0,1789425268854017792,1789425268854330880,0,0
img8M_full_idle,8,0,428822400,428822400,428848800,428848800,429750800,429750800,429750800,429751100,430155000,431148800,437224000,437226300,0,0,0,0,0,1789425268862450688,1789425268862763264,0,0
img8M_full_idle,9,0,437236700,437236700,437262800,437262800,438101200,438101200,438101200,438101500,438482000,439468400,445539800,445542600,0,0,0,0,0,1789425268870796032,1789425268871108608,0,0
img8M_full_idle,10,0,445552600,445552600,445580400,445580500,446070900,446070900,446070900,446071300,446448600,447420400,453553100,453555800,0,0,0,0,0,1789425268878770176,1789425268879082752,0,0
img8M_full_idle,11,0,453566100,453566100,453590300,453590300,454741800,454741800,454741800,454742200,455141000,456122400,462194400,462196800,0,0,0,0,0,1789425268887436800,1789425268887749376,0,0
img8M_full_idle,12,0,462206900,462206900,462239700,462239700,462994600,462994600,462994600,462994900,463380800,464382200,470557200,470559700,0,0,0,0,0,1789425268895690240,1789425268896003328,0,0
img8M_full_idle,13,0,470570700,470570700,470598100,470598100,471086700,471086700,471086700,471087100,471499600,472479700,478592900,478595500,0,0,0,0,0,1789425268903788288,1789425268904101120,0,0
img8M_full_idle,14,0,478605700,478605700,478637600,478637600,479383300,479383300,479383300,479383700,479768500,480731700,486829300,486832100,0,0,0,0,0,1789425268912081920,1789425268912394240,0,0
img8M_full_idle,15,0,486846900,486846900,486870100,486870100,487515200,487515200,487515200,487515700,487902400,488870400,494963600,494966300,0,0,0,0,0,1789425268920216320,1789425268920528896,0,0
img8M_full_idle,16,0,494976300,494976300,495003000,495003000,495470200,495470200,495470200,495470700,495968900,496952700,503108200,503110100,0,0,0,0,0,1789425268928153088,1789425268928465664,0,0
img8M_full_idle,17,0,503118800,503118900,503143200,503143200,503603600,503603600,503603600,503603900,504098600,505093800,511237500,511239600,0,0,0,0,0,1789425268936294144,1789425268936606720,0,0
img8M_full_idle,18,0,511249300,511249300,511278700,511278700,511732500,511732500,511732500,511732800,512185900,513184000,519359900,519362400,0,0,0,0,0,1789425268944427264,1789425268944739840,0,0
img8M_full_idle,19,0,519371700,519371700,519401100,519401100,519850200,519850200,519850200,519850700,520328300,521315200,527396200,527398100,0,0,0,0,0,1789425268952550400,1789425268952862976,0,0
img8M_full_idle,20,0,527472500,527472500,527499800,527499900,527946700,527946700,527946700,527947100,528336800,529334000,535491800,535494000,0,0,0,0,0,1789425268960650240,1789425268960962816,0,0
img8M_full_idle,21,0,535502700,535502700,535528900,535528900,535977300,535977300,535977300,535977500,536374100,537400700,543557500,543559100,0,0,0,0,0,1789425268968678400,1789425268968990976,0,0
img8M_full_idle,22,0,543566200,543566200,543586500,543586600,544044200,544044200,544044200,544044400,544401900,545398300,551522400,551524500,0,0,0,0,0,1789425268976748288,1789425268977060864,0,0
img8M_full_idle,23,0,551532400,551532400,551552900,551552900,552005500,552005500,552005500,552005900,552370600,553339500,559406300,559408000,0,0,0,0,0,1789425268984704512,1789425268985016832,0,0
img8M_full_idle,24,0,559416100,559416200,559438700,559438800,559890000,559890000,559890000,559890300,560262100,561256700,567420900,567422900,0,0,0,0,0,1789425268992590336,1789425268992902912,0,0
img8M_full_idle,25,0,567430400,567430400,567451000,567451100,567903600,567903600,567903600,567904000,568283600,569255600,575338400,575340500,0,0,0,0,0,1789425269000603392,1789425269000915968,0,0
img8M_full_idle,26,0,575349400,575349400,575374700,575374800,575821700,575821700,575821700,575822100,576198200,577176200,583259800,583261800,0,0,0,0,0,1789425269008520704,1789425269008833280,0,0
img8M_full_idle,27,0,583271300,583271300,583297800,583297800,583866300,583866300,583866300,583866500,584235400,585197600,591268300,591270800,0,0,0,0,0,1789425269016565248,1789425269016877824,0,0
img8M_full_idle,28,0,591280200,591280200,591302700,591302700,592139500,592139500,592139500,592139800,592510800,593474500,599683600,599685900,0,0,0,0,0,1789425269024842240,1789425269025154560,0,0
img8M_full_idle,29,0,599695100,599695100,599720100,599720100,600474100,600474100,600474100,600474500,600849900,601807000,607887500,607889300,0,0,0,0,0,1789425269033168384,1789425269033480960,0,0
img8M_full_idle,30,0,607898300,607898400,607922000,607922100,608723500,608723500,608723500,608723800,609086100,610080800,616245400,616247800,0,0,0,0,0,1789425269041425408,1789425269041737728,0,0
img8M_full_idle,31,0,616257700,616257700,616296800,616296800,617167300,617167300,617167300,617167700,617536900,618502200,624567700,624569100,0,0,0,0,0,1789425269049868800,1789425269050181376,0,0
img8M_full_idle,32,0,624578600,624578600,624602500,624602500,625420800,625420800,625420800,625421000,625781900,626876500,633014900,633017000,0,0,0,0,0,1789425269058124544,1789425269058436864,0,0
img8M_full_idle,33,0,633026300,633026300,633050700,633050700,633838400,633838400,633838400,633838700,634201600,635181800,641251000,641253500,0,0,0,0,0,1789425269066541312,1789425269066853888,0,0
