regime,iter,cold,request,submit_entry,submit_return,fwait_entry,fwait_return,invalidate_entry,invalidate_return,first_read,memcpy_done,swizzle_done,consumer,gpu_ts_retrieved,backlog_submit_entry,backlog_submit_return,witness_submit_entry,witness_submit_return,witness_first_signaled,gpu_ts0_ns,gpu_ts1_ns,witness_already_done,witness_observed
img8M_full_idle,0,1,258706500,258706500,258722600,258722700,332327100,332327100,332327100,332327500,332696400,333663900,339727600,339729900,0,0,0,0,0,1789425308935361024,1789425308935673856,0,0
img8M_full_idle,1,0,339744200,339744300,339772400,339772400,340220800,340220800,340220800,340221200,340627600,341632300,347723900,347726300,0,0,0,0,0,1789425308943255552,1789425308943568384,0,0
img8M_full_idle,2,0,347734500,347734500,347770900,347770900,348206100,348206100,348206100,348206500,348591800,349551300,355619600,355622400,0,0,0,0,0,1789425308951240960,1789425308951553792,0,0
img8M_full_idle,3,0,355633700,355633700,355667000,355667100,356189100,356189100,356189100,356189400,356576800,357568500,363683000,363686400,0,0,0,0,0,1789425308959223296,1789425308959538432,0,0
img8M_full_idle,4,0,363698300,363698300,363734500,363734600,364191500,364191500,364191500,364192000,364636900,365603700,371699300,371702300,0,0,0,0,0,1789425308967215616,1789425308967528448,0,0
img8M_full_idle,5,0,371713200,371713200,371749600,371749700,372202000,372202000,372202000,372202400,372668500,373655000,379726700,379729600,0,0,0,0,0,1789425308975228928,1789425308975547392,0,0
img8M_full_idle,6,0,379741300,379741300,379770000,379770100,380239100,380239100,380239100,380239400,380726400,381731400,387820500,387823700,0,0,0,0,0,1789425308983254784,1789425308983568128,0,0
img8M_full_idle,7,0,387833800,387833800,387866200,387866200,388322800,388322800,388322800,388323100,388812300,389802600,395912800,395915700,0,0,0,0,0,1789425308991348736,1789425308991661568,0,0
img8M_full_idle,8,0,395925800,395925800,395959700,395959800,396416200,396416200,396416200,396416600,396881000,397852500,403931600,403934700,0,0,0,0,0,1789425308999442944,1789425308999758080,0,0
img8M_full_idle,9,0,403946500,403946500,403982600,403982600,404460700,404460700,404460700,404461000,405016500,406012000,412086400,412088800,0,0,0,0,0,1789425309007465728,1789425309007778560,0,0
img8M_full_idle,10,0,412099300,412099300,412131400,412131500,412582300,412582300,412582300,412582500,412985300,413977400,420053700,420055800,0,0,0,0,0,1789425309015618304,1789425309015931136,0,0
img8M_full_idle,11,0,420063300,420063400,420090600,420090600,420543900,420543900,420543900,420544200,420914700,421950300,428060200,428063000,0,0,0,0,0,1789425309023576576,1789425309023889408,0,0
img8M_full_idle,12,0,428073100,428073100,428104200,428104200,428627600,428627600,428627600,428628000,428993000,429973800,436066700,436069800,0,0,0,0,0,1789425309031662080,1789425309031974912,0,0
img8M_full_idle,13,0,436079000,436079100,436109600,436109700,436556100,436556100,436556100,436556400,436923200,437954600,444057300,444060100,0,0,0,0,0,1789425309039593728,1789425309039906560,0,0
img8M_full_idle,14,0,444070600,444070600,444103100,444103100,444558400,444558400,444558400,444558800,444949500,445911600,451982100,451984600,0,0,0,0,0,1789425309047589376,1789425309047902464,0,0
img8M_full_idle,15,0,451993800,451993800,452024000,452024000,452471200,452471200,452471200,452471300,452885200,453870200,459974900,459977300,0,0,0,0,0,1789425309055508736,1789425309055822336,0,0
img8M_full_idle,16,0,459986000,459986000,460010700,460010700,460456500,460456500,460456500,460456700,460839900,461824600,467910000,467913200,0,0,0,0,0,1789425309063493376,1789425309063806208,0,0
img8M_full_idle,17,0,467922800,467922800,467963100,467963100,468499700,468499700,468499700,468499900,468978600,469981200,476078600,476080500,0,0,0,0,0,1789425309071531008,1789425309071843840,0,0
img8M_full_idle,18,0,476089200,476089200,476110900,476110900,476827000,476827000,476827000,476827300,477183300,478159000,484254900,484257500,0,0,0,0,0,1789425309079863552,1789425309080176384,0,0
img8M_full_idle,19,0,484267700,484267700,484341500,484341500,485262900,485262900,485262900,485263300,485665500,486623000,492717800,492719700,0,0,0,0,0,1789425309088297472,1789425309088610560,0,0
img8M_full_idle,20,0,492807200,492807200,492831200,492831200,493441200,493441200,493441200,493441500,493802000,494783000,500888600,500890700,0,0,0,0,0,1789425309096478720,1789425309096791552,0,0
img8M_full_idle,21,0,500900800,500900800,500949000,500949000,501445500,501445500,501445500,501445800,501852900,502839400,508918100,508921000,0,0,0,0,0,1789425309104432384,1789425309104745472,0,0
