studio: session log -> session_20260908_111739.jsonl
floor: building pipeline (modules ok)
floor: pipeline created
Compute pipeline created
THE ENGINE STUDIO: overlay ready (F1)
Vulkan engine initialized: 2560 x 1440, 2 frames in flight
Chimera Engine running at http://localhost:8091/state
  /frame  -> PNG of the current render (membrane if one is loaded)
  /membrane (POST) -> load a story membrane scene
Window: 2560x1440, Press Ctrl+C to stop.
Controls: Left-drag orbit | Scroll zoom | Right-drag pan
          WASD move | Q/E up-down | Space/Ctrl zoom | R reset | P pose toggle
          F1 THE ENGINE STUDIO overlay (pipeline board + live status)
FPS: 55 (frame 55) | ft ms avg 9.34 max 22.64 | >16.7ms: 1 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 10.32 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 11.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.11 max 10.17 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.05 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 9.97 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 10.38 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.19 max 10.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.21 max 10.98 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.08 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.18 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.09 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.03 max 9.52 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.50 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.15 max 10.30 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.24 max 10.63 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.23 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.21 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.12 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.20 max 10.51 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.17 max 10.09 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.20 max 11.01 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.20 max 10.98 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.18 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.24 max 10.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.20 max 10.98 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.02 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 10.51 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.18 max 10.60 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.15 max 10.24 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 10.88 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.08 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.18 max 10.13 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.17 max 10.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.11 max 10.02 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.25 max 10.91 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.10 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 11.05 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.17 max 11.00 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.18 max 10.98 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.16 max 10.23 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.15 max 10.02 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 57) | ft ms avg 9.10 max 10.06 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.11 max 10.01 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.08 max 9.98 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.21 max 10.41 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.17 max 10.60 | >16.7ms: 0 >33ms: 0
