term,class,n_lod,n_vis,size_mean,size_std,size_max,expansions,expansions_per_splat,render_ms,over_half_screen
aActiveInterior,general,38765,28249,0.022506652552215005,0.007073681830501935,0.02835383079946041,133114,4.71,13.987,False
aBlueWorld,general,43000,20112,0.020585631642057452,0.0053514508206839,0.027000000700354576,125771,6.25,14.414,False
aHuman,body,16745,8094,0.013500000350177288,0.0,0.013500000350177288,46551,5.75,9.749,False
aNitrogenAtmosphere,atmosphere,30500,27348,0.029404045922345804,0.007553303575319147,0.04755992814898491,141307,5.17,17.705,False
aRockyPlanet,stellar,29732,21418,0.015538658895068093,0.00618108556849576,0.034676212817430496,44864,2.09,12.801,False
aSaltOcean,atmosphere,34000,10932,0.014418721199035645,0.0,0.014418721199035645,51640,4.72,16.004,False
aSteppeBiomes,vegetation,34000,10932,0.014418721199035645,0.0,0.014418721199035645,51524,4.71,15.365,False
aTerraceMine,terrain,36000,36000,0.03160837944597006,0.022607718976955682,0.06806223094463348,166863,4.64,23.143,False
aTerrain,terrain,65536,31581,0.027903562411665916,0.0,0.027903562411665916,164163,5.2,43.038,False
aYellowStar,stellar,31000,15007,0.07838709832679841,0.11033956233723673,0.33000001311302185,764084,50.92,64.509,False
theAnkle,body,1541,202,0.016018819709361025,0.0007385089025495908,0.04500000178813934,796,3.94,11.308,False
theAtmosphere,atmosphere,12000,12000,0.039835404604673386,0.0,0.039835404604673386,85831,7.15,18.211,False
theBalance,body,1826,1078,0.013409638885502487,0.0017237456179998248,0.029999999329447746,5438,5.04,11.96,False
theBiomes,vegetation,12000,3854,0.02265230193734169,0.0,0.02265230193734169,29400,7.63,13.477,False
theBreath,atmosphere,4200,4200,0.052000001072883606,0.0,0.052000001072883606,163258,38.87,24.841,False
theClock,stellar,18200,18200,0.07199999690055847,0.0,0.07199999690055847,384899,21.15,37.898,False
theCloud,atmosphere,16000,16000,0.10199999809265137,0.0,0.10199999809265137,372445,23.28,58.491,False
theCooling,stellar,14000,14000,0.047846710847956796,0.004466716053833938,0.06539352983236313,80571,5.76,17.5,False
theDensityClock,stellar,22000,22000,0.11054545217616991,0.029897896888401793,0.11999999731779099,82107,3.73,22.601,False
theDescent,general,2200,2200,0.04383505880832672,0.0,0.04383505880832672,24759,11.25,13.623,False
theEmptying,stellar,12000,12000,0.5099999904632568,0.0,0.5099999904632568,262801,21.9,23.452,False
theEye,body,3294,3294,0.025197368155582173,0.021914373915211012,0.09061424434185028,23258,7.06,12.219,False
theFlight,general,1800,1800,0.04846147820353508,0.0,0.04846147820353508,23211,12.89,13.827,False
theGalaxy,stellar,35000,35000,0.020999999530613423,0.022945587298293678,0.05999999865889549,213325,6.09,28.301,False
theGarden,vegetation,3000,3000,0.03753810003399849,0.0,0.03753810003399849,27539,9.18,13.377,False
theGrip,body,4280,2586,0.011869159009237991,0.0009771607648302772,0.014000000432133675,6930,2.68,11.984,False
theGround,terrain,26000,12851,0.006932211717098164,0.0062225608982914675,0.02249915711581707,38766,3.02,17.105,False
theHand,body,2956,1591,0.026289905245631368,0.005307460325449991,0.03278275951743126,8738,5.49,13.407,False
theHorizon,stellar,9500,3389,0.03126315929387745,0.0031261568081890523,0.03200000151991844,36861,10.88,15.388,False
theHuman,body,3120,1557,0.010999999940395355,0.0,0.010999999940395355,7609,4.89,11.431,False
theHumanClock,stellar,17000,17000,0.051882351912996345,0.01753612121381557,0.05999999865889549,146405,8.61,38.91,False
theInterior,general,6996,6996,0.02966730296611786,0.0,0.02966730296611786,46368,6.63,14.957,False
theLoad,body,4414,4414,0.008586429966774849,0.00046860584712854074,0.029999999329447746,11475,2.6,12.258,False
theMining,rock,9000,9000,0.029893286526203156,0.0,0.029893286526203156,60014,6.67,16.346,False
theOcean,atmosphere,12000,3868,0.02265230193734169,0.0,0.02265230193734169,29475,7.62,14.277,False
thePlanets,stellar,24336,24161,0.014860627763770841,0.0010623150012213668,0.017070306465029716,56474,2.34,17.626,False
theRockyPlanet,stellar,41974,21764,0.018524746354235334,0.01299730745477641,0.05999999865889549,133013,6.11,20.103,False
theSeed,general,1400,1400,0.05495015159249306,0.0,0.05495015159249306,21659,15.47,12.885,False
theShip,general,2600,2600,0.04032238945364952,0.0,0.04032238945364952,26202,10.08,12.087,False
theSkin,body,1040,390,0.09738937020301819,0.0,0.09738937020301819,15585,39.96,12.633,False
theSolarSystem,stellar,20000,20000,0.010999999940395355,0.0,0.010999999940395355,57424,2.87,18.217,False
theStance,body,1726,1092,0.015969872412078628,0.0057352979792083475,0.029999999329447746,4516,4.14,12.822,False
theStar,stellar,20000,14354,0.02189999967813492,0.008954886548471408,0.029999999329447746,57337,3.99,19.854,False
theSweep,body,5200,5200,0.019999999552965164,0.0,0.019999999552965164,64143,12.34,16.68,False
theTerrain,terrain,55000,24006,0.016521305785091086,0.006124355492175406,0.027000000700354576,117175,4.88,21.023,False
theThrust,body,2501,2501,0.005581367422775572,0.0006640032563282086,0.010999999940395355,6698,2.68,10.766,False
theZero,general,4000,4000,0.029999999329447746,0.0,0.029999999329447746,8160000,2040.0,21.624,True
