bmi,eye_frac_of_stature,foot_breadth_m,foot_length_m,hand_breadth_m,hand_circumference_m,hand_length_m,head_height_m,leg_frac_of_stature,mass_kg,stature_m,trochanterion_m,waist_frac_of_stature,waist_height_m
25.83876105835565,0.9211711711711712,0.101,0.273,0.09,0.214,0.193,0.14,0.517454954954955,81.5,1.776,0.919,0.5934684684684685,1.054
25.062102924464345,0.9294947121034077,0.098,0.263,0.08600000000000001,0.203,0.195,0.12,0.5393654524089306,72.60000000000001,1.702,0.918,0.6192714453584018,1.054
30.86148045411888,0.9279538904899135,0.10300000000000001,0.27,0.093,0.22,0.203,0.125,0.5291066282420749,92.9,1.735,0.918,0.6,1.041
28.988417411305118,0.923262839879154,0.106,0.267,0.091,0.217,0.194,0.127,0.5117824773413897,79.4,1.655,0.847,0.5848942598187311,0.968
25.82303414645864,0.9362591431556949,0.111,0.305,0.094,0.222,0.218,0.122,0.5694879832810867,94.60000000000001,1.9140000000000001,1.09,0.6504702194357367,1.245
27.109248242293134,0.9232558139534883,0.08700000000000001,0.254,0.085,0.203,0.19,0.132,0.522093023255814,80.2,1.72,0.898,0.5930232558139535,1.02
35.46900277769299,0.9232044198895027,0.113,0.28500000000000003,0.093,0.227,0.22,0.139,0.5220994475138122,116.2,1.81,0.9450000000000001,0.5977900552486188,1.082
27.87436084733382,0.9291891891891891,0.099,0.281,0.088,0.21,0.198,0.131,0.5183783783783784,95.4,1.85,0.9590000000000001,0.6,1.11
31.509987082488706,0.9279684862127181,0.10400000000000001,0.266,0.093,0.226,0.197,0.128,0.5211029825548678,99.5,1.7770000000000001,0.926,0.5813168261114238,1.033
21.40425969160182,0.9359469906129211,0.108,0.278,0.088,0.20800000000000002,0.2,0.116,0.5383765875207068,70.2,1.811,0.975,0.6024295969077857,1.091
27.837394268400455,0.9202247191011236,0.101,0.265,0.089,0.212,0.2,0.14200000000000002,0.5157303370786517,88.2,1.78,0.918,0.5803370786516854,1.033
