animal,N,ID,Subspecies,B2.TOT,B2.UV,B2.VIS,B2.NIR,B2.TOT.EGG,B2.UV.EGG,B2.VIS.EGG,B2.NIR.EGG,class,treetax_initial_class
Anhinga_anhinga,1,anhanh,NA,52.14561301,19.16536015,27.7522755,61.23088638,NA,NA,NA,NA,Aves,Anhinga_anhinga
Bulweria_bulwerii,2,bulbul,NA,29.07537438,0.349757877,4.530638829,37.93280024,NA,NA,NA,NA,Aves,Bulweria_bulwerii
Calonectris_diomedea,3,caldio,NA,36.15795788,2.266157055,7.883900288,46.41059408,NA,NA,NA,NA,Aves,Calonectris_diomedea
Catharacta_lonnbergi,4,catlon,NA,52.75893032,16.81440085,36.84969363,59.61075078,NA,NA,NA,NA,Aves,Catharacta_lonnbergi
Stercorarius_maccormicki,5,catmac,NA,45.17155241,13.02845433,25.74933339,52.78165994,NA,NA,NA,NA,Aves,Catharacta_maccormicki
Stercorarius_skua,6,catsku,NA,40.59668484,12.53239493,20.39083172,48.16930526,NA,NA,NA,NA,Aves,Catharacta_skua
Chlidonias_leucopterus,7,chlleu,NA,49.24651069,21.14714977,29.98235424,56.55312523,NA,NA,NA,NA,Aves,Chlidonias_leucopterus
Chlidonias_niger,8,chlnig,NA,43.08675958,17.88861061,19.29279098,51.50186001,NA,NA,NA,NA,Aves,Chlidonias_niger
Creagrus_furcatus,9,crefur,NA,47.35129449,21.21928715,28.99549921,54.27254725,NA,NA,NA,NA,Aves,Creagrus_furcatus
Daption_capense,10,dapcap,NA,53.36084516,17.95179954,37.01244434,60.30402627,NA,NA,NA,NA,Aves,Daption_capense
Diomedea_epomophora,11,dioepo,NA,41.41393573,5.670220188,7.06905052,53.52009321,NA,NA,NA,NA,Aves,Diomedea_epomophora
Diomedea_exulans,12,dioexu,NA,33.57752722,-0.549105076,7.354047258,43.26044182,NA,NA,NA,NA,Aves,Diomedea_exulans
Thalassarche_melanophris,13,diomel,NA,32.00219404,-1.350821239,5.344045443,41.75979299,NA,NA,NA,NA,Aves,Thalassarche_melanophrys
Fregetta_grallaria,14,fregra,NA,31.64422234,10.31844469,7.426431361,39.93161592,NA,NA,NA,NA,Aves,Fregetta_grallaria
Fregetta_tropica,15,fretro,NA,31.39226405,9.802294004,7.662402888,39.55704156,NA,NA,NA,NA,Aves,Fregetta_tropica
Fulmarus_glacialis,16,fulgla,NA,49.26847042,14.94463606,19.75854823,59.90068452,NA,NA,NA,NA,Aves,Fulmarus_glacialis
Garrodia_nereis,17,garner,NA,32.11497161,10.21182609,6.912425551,40.721772,NA,NA,NA,NA,Aves,NA
Gygis_alba,18,gygalb,NA,66.13879934,30.92425078,58.86955258,70.47395046,NA,NA,NA,NA,Aves,Gygis_alba
Hydrobates_microsoma,19,halmic,NA,33.78815323,9.643987231,6.653731279,43.09036975,NA,NA,NA,NA,Aves,Halocyptena_microsoma
Hydrobates_pelagicus,20,hydpel,NA,27.12454308,11.39564767,10.29990574,32.94014753,NA,NA,NA,NA,Aves,Hydrobates_pelagicus
Larosterna_inca,21,larinc,NA,45.72980303,21.12570075,28.8008832,52.14698184,NA,NA,NA,NA,Aves,Larosterna_inca
Macronectes_giganteus,22,macgig,NA,42.96057198,8.104152237,11.0607014,54.30983986,NA,NA,NA,NA,Aves,Macronectes_giganteus
