	Duty_Factor	Phase	Class	Order	Gait	Habitat	ArcSin_Phase
Antennarius_striatus	67.6513919	46.03528139	Actinopterygii	Lophiiformes	LSDC	aquatic	0.745709312
Cryptotora_thamicola	65.45454545	51.18181818	Actinopterygii	Cypriniformes	DSDC	aquatic	0.797217446
Pelobates_syriacus	79.98515977	32.38659891	Amphibia	Anura	LSDC	terrestrial	0.605401482
Agalychnis_callidryas	82.27272727	34.26406926	Amphibia	Anura	LSDC	arboreal	0.625318068
Dicamptodon_tenebrosus	72.08	36.42	Amphibia	Caudata	LSDC	terrestrial	0.647870596
Salamandra_infraimmaculata	76.46	36.91	Amphibia	Caudata	LSDC	terrestrial	0.652954773
Taricha_torosa	65.59	38.16	Amphibia	Caudata	LSDC	terrestrial	0.665862741
Lepidobatrachus_laevis	65.02	39.04	Amphibia	Anura	LSDC	aquatic	0.674900936
Rhinella_marina	75.1	39.05	Amphibia	Anura	LSDC	terrestrial	0.675003427
Breviceps_mossambicus	67.87878788	39.09090909	Amphibia	Anura	LSDC	terrestrial	0.675422656
Phyllomedusa_hypochondrialis	70.02738052	39.17995852	Amphibia	Anura	LSDC	arboreal	0.676334948
Rana_catesbeiana	71.76851852	39.78703704	Amphibia	Anura	LSDC	terrestrial	0.682544687
Andrias_japonicus	74	40	Amphibia	Caudata	LSDC	aquatic	0.684719203
Ambystoma_tigrinum	80	40	Amphibia	Caudata	LSDC	terrestrial	0.684719203
Necturus_maculosus	71.88	41.67	Amphibia	Caudata	LSDC	aquatic	0.70170793
Rhyacotriton_variegatus	77.13	43.83	Amphibia	Caudata	LSDC	aquatic	0.72354049
Kassina_maculata	78	44	Amphibia	Anura	LSDC	terrestrial	0.725253222
Ambystoma_maculatum	72.14	44.34	Amphibia	Caudata	LSDC	terrestrial	0.72867658
Ambystoma_texanum	67.68	44.5	Amphibia	Caudata	LSDC	terrestrial	0.730286638
Ambystoma_mexicanum	53.8238573	44.8606466	Amphibia	Caudata	LSDC	aquatic	0.733913699
Plethodon_vehiculum	71.46	45.36	Amphibia	Caudata	LSDC	terrestrial	0.738931306
Hynobius_kimurae	71.09	49.49	Amphibia	Caudata	LSDC	terrestrial	0.780298075
