Species,Video,stridenumber,subs_diam,subs_ori,subs_hght,hipTD,kneeTD,ankleTD,hlTD,hipMID,kneeMID,ankleMID,hlMID,hipLO,kneeLO,ankleLO,hlLO,shoulderTD,elbowTD,wristTD,flTD,shoulderMID,elbowMID,wristMID,flMID,shoulderLO,elbowLO,wristLO,flLO,subs_compl,tree_species,meanElbowAng,meanKneeAng,meanFLAng,meanHLAng,elbowYld,kneeYld,shoulderExcur,hipExcur,flExcur,hlExcur,horizVsang,incVsdec,sex,age,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,Mass,subs_diam_std
Alouatta_palliata,Cam3_1120,2,0.0267,29.2,NA,37.26,136.2266667,118.04,53.35033333,41.393,106.1873333,97.759,75.26933333,NA,NA,NA,NA,112.091,137.4083333,170.417,134.727,64.21366667,117.2616667,112.9763333,102.4536667,30.85233333,139.047,NA,51.14233333,NA,NA,131.239,NA,92.93466667,NA,20.1466666,30.0393334,81.23866667,NA,83.58466667,NA,0.127077923,0.487859659,m,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,Cam3_19600,2,0.0267,29.2,NA,34.21433333,91.76666667,85.90466667,71.958,45.24133333,98.30566667,80.12466667,81.181,92.609,105.1633333,119.0473333,129.5266667,119.5383333,125.6703333,153.6726667,147.0213333,72.75866667,113.6606667,146.1556667,107.345,NA,NA,NA,NA,NA,NA,NA,98.41188888,NA,100.7423334,12.0096666,-6.539,NA,58.39466667,NA,57.5686667,0.127077923,0.487859659,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,Cam3_30,2,0.0267,29.2,NA,24.10533333,100.3353333,95.90333333,43.922,37.481,85.89966667,78.93366667,82.671,95.75833333,136.0733333,121.066,119.003,127.1816667,147.1586667,154.194,144.103,47.35966667,87.24833333,NA,100.4826667,16.48066667,101.735,132.038,62.878,NA,NA,112.0473333,107.4361111,103.4905,81.4625,59.91033337,14.43566663,110.701,71.653,81.225,75.081,0.127077923,0.487859659,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,Cam3_30,1,0.0267,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.00666667,112.3226667,122.3346667,132.9213333,NA,NA,NA,NA,NA,NA,NA,NA,6.157666667,95.00833333,147.6846667,48.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127077923,0.487859659,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,Cam3_3200,2,0.0267,29.2,NA,23.06066667,125.102,108.0106667,39.30666667,44.02533333,89.40133333,67.87,80.64366667,NA,NA,NA,NA,126.669,143.934,154.2563333,141.033,49.04766667,98.32333333,156.437,100.3526667,43.59833333,114.0123333,135.2353333,70.944,NA,NA,118.7565555,NA,105.9885,NA,45.61066667,35.70066667,83.07066667,NA,70.089,NA,0.127077923,0.487859659,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,Cam3_3200,1,0.0267,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.93166667,102.0003333,109.797,120.8253333,NA,NA,NA,NA,NA,NA,NA,NA,43.01633333,119.948,128.725,69.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127077923,0.487859659,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.153380603
Alouatta_palliata,GOPR0087_6-13,2,0.0648,16.8,NA,29.46766667,117.9136667,80.10966667,56.13933333,39.09033333,103.2786667,65.60366667,70.465,NA,NA,NA,NA,125.1666667,170.6876667,162.953,131.2126667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.635,NA,NA,NA,NA,0.042680502,0.289031797,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.372249553
Alouatta_palliata,GOPR0099_6-25,1,0.0504,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.26466667,78.19933333,109.23,125.0323333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080178503,0.392337117,m,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.28952743
Alouatta_palliata,GOPR0112_6-38,2,0.104,-26.7,NA,31.87766667,126.764,92.855,57.86233333,32.34766667,89.27366667,64.71466667,89.54133333,NA,NA,NA,NA,107.441,128.783,156.8013333,135.5906667,38.01933333,97.20133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.58166667,37.49033333,NA,NA,NA,NA,0.106628612,-0.449318999,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.597437554
Alouatta_palliata,GOPR0112_6-38,1,0.104,-26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.91833333,85.05466667,131.8673333,120.3256667,NA,NA,NA,NA,NA,NA,NA,NA,23.78233333,103.203,142.2596667,61.78933333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106628612,-0.449318999,f,adult,-0.158907256,0.330817746,0.278230797,-0.465256976,0.001752695,0.000233424,3.29E-05,-6.25E-16,-0.707106763,-1.80E-16,2.51E-10,-5.34E-17,1.29E-10,5.275,0.597437554
