series_id,x_fraction,y_deg
mocap_cmus35_walk_ankle_mean_cycle,0.0,-6.53
mocap_cmus35_walk_ankle_mean_cycle,0.01,-6.7
mocap_cmus35_walk_ankle_mean_cycle,0.02,-7.25
mocap_cmus35_walk_ankle_mean_cycle,0.03,-7.64
mocap_cmus35_walk_ankle_mean_cycle,0.04,-7.41
mocap_cmus35_walk_ankle_mean_cycle,0.05,-8.08
mocap_cmus35_walk_ankle_mean_cycle,0.06,-9.78
mocap_cmus35_walk_ankle_mean_cycle,0.07,-11.21
mocap_cmus35_walk_ankle_mean_cycle,0.08,-12.52
mocap_cmus35_walk_ankle_mean_cycle,0.09,-13.69
mocap_cmus35_walk_ankle_mean_cycle,0.1,-14.04
mocap_cmus35_walk_ankle_mean_cycle,0.11,-13.63
mocap_cmus35_walk_ankle_mean_cycle,0.12,-12.93
mocap_cmus35_walk_ankle_mean_cycle,0.13,-12.63
mocap_cmus35_walk_ankle_mean_cycle,0.14,-12.33
mocap_cmus35_walk_ankle_mean_cycle,0.15,-11.67
mocap_cmus35_walk_ankle_mean_cycle,0.16,-11.28
mocap_cmus35_walk_ankle_mean_cycle,0.17,-10.76
mocap_cmus35_walk_ankle_mean_cycle,0.18,-10.23
mocap_cmus35_walk_ankle_mean_cycle,0.19,-9.65
mocap_cmus35_walk_ankle_mean_cycle,0.2,-9.01
mocap_cmus35_walk_ankle_mean_cycle,0.21,-8.4
mocap_cmus35_walk_ankle_mean_cycle,0.22,-7.85
mocap_cmus35_walk_ankle_mean_cycle,0.23,-7.35
mocap_cmus35_walk_ankle_mean_cycle,0.24,-6.31
mocap_cmus35_walk_ankle_mean_cycle,0.25,-5.71
mocap_cmus35_walk_ankle_mean_cycle,0.26,-5.14
mocap_cmus35_walk_ankle_mean_cycle,0.27,-4.27
mocap_cmus35_walk_ankle_mean_cycle,0.28,-3.59
mocap_cmus35_walk_ankle_mean_cycle,0.29,-2.9
mocap_cmus35_walk_ankle_mean_cycle,0.3,-2.09
mocap_cmus35_walk_ankle_mean_cycle,0.31,-1.38
mocap_cmus35_walk_ankle_mean_cycle,0.32,-0.82
mocap_cmus35_walk_ankle_mean_cycle,0.33,-0.1
mocap_cmus35_walk_ankle_mean_cycle,0.34,0.66
mocap_cmus35_walk_ankle_mean_cycle,0.35,1.41
mocap_cmus35_walk_ankle_mean_cycle,0.36,1.92
mocap_cmus35_walk_ankle_mean_cycle,0.37,2.45
mocap_cmus35_walk_ankle_mean_cycle,0.38,3.01
mocap_cmus35_walk_ankle_mean_cycle,0.39,3.3
mocap_cmus35_walk_ankle_mean_cycle,0.4,3.3
mocap_cmus35_walk_ankle_mean_cycle,0.41,3.47
mocap_cmus35_walk_ankle_mean_cycle,0.42,3.67
mocap_cmus35_walk_ankle_mean_cycle,0.43,3.76
mocap_cmus35_walk_ankle_mean_cycle,0.44,3.74
mocap_cmus35_walk_ankle_mean_cycle,0.45,3.76
mocap_cmus35_walk_ankle_mean_cycle,0.46,3.71
mocap_cmus35_walk_ankle_mean_cycle,0.47,3.61
mocap_cmus35_walk_ankle_mean_cycle,0.48,3.71
mocap_cmus35_walk_ankle_mean_cycle,0.49,3.73
mocap_cmus35_walk_ankle_mean_cycle,0.5,3.57
mocap_cmus35_walk_ankle_mean_cycle,0.51,3.55
mocap_cmus35_walk_ankle_mean_cycle,0.52,3.5
mocap_cmus35_walk_ankle_mean_cycle,0.53,3.27
mocap_cmus35_walk_ankle_mean_cycle,0.54,2.77
mocap_cmus35_walk_ankle_mean_cycle,0.55,1.83
mocap_cmus35_walk_ankle_mean_cycle,0.56,0.62
mocap_cmus35_walk_ankle_mean_cycle,0.57,-0.81
mocap_cmus35_walk_ankle_mean_cycle,0.58,-2.39
mocap_cmus35_walk_ankle_mean_cycle,0.59,-4.98
mocap_cmus35_walk_ankle_mean_cycle,0.6,-8.18
mocap_cmus35_walk_ankle_mean_cycle,0.61,-11.85
mocap_cmus35_walk_ankle_mean_cycle,0.62,-15.23
mocap_cmus35_walk_ankle_mean_cycle,0.63,-20.31
mocap_cmus35_walk_ankle_mean_cycle,0.64,-26.15
mocap_cmus35_walk_ankle_mean_cycle,0.65,-28.19
mocap_cmus35_walk_ankle_mean_cycle,0.66,-23.55
mocap_cmus35_walk_ankle_mean_cycle,0.67,-19.36
mocap_cmus35_walk_ankle_mean_cycle,0.68,-24.15
mocap_cmus35_walk_ankle_mean_cycle,0.69,-25.22
mocap_cmus35_walk_ankle_mean_cycle,0.7,-19.61
mocap_cmus35_walk_ankle_mean_cycle,0.71,-26.48
mocap_cmus35_walk_ankle_mean_cycle,0.72,-27.14
mocap_cmus35_walk_ankle_mean_cycle,0.73,-24.78
mocap_cmus35_walk_ankle_mean_cycle,0.74,-22.09
mocap_cmus35_walk_ankle_mean_cycle,0.75,-20.95
mocap_cmus35_walk_ankle_mean_cycle,0.76,-19.98
mocap_cmus35_walk_ankle_mean_cycle,0.77,-18.08
mocap_cmus35_walk_ankle_mean_cycle,0.78,-16.99
mocap_cmus35_walk_ankle_mean_cycle,0.79,-14.75
mocap_cmus35_walk_ankle_mean_cycle,0.8,-13.07
mocap_cmus35_walk_ankle_mean_cycle,0.81,-11.85
mocap_cmus35_walk_ankle_mean_cycle,0.82,-10.51
mocap_cmus35_walk_ankle_mean_cycle,0.83,-9.47
mocap_cmus35_walk_ankle_mean_cycle,0.84,-8.59
mocap_cmus35_walk_ankle_mean_cycle,0.85,-7.75
mocap_cmus35_walk_ankle_mean_cycle,0.86,-7.42
mocap_cmus35_walk_ankle_mean_cycle,0.87,-7.15
mocap_cmus35_walk_ankle_mean_cycle,0.88,-7.25
mocap_cmus35_walk_ankle_mean_cycle,0.89,-7.61
mocap_cmus35_walk_ankle_mean_cycle,0.9,-8.15
mocap_cmus35_walk_ankle_mean_cycle,0.91,-9.04
mocap_cmus35_walk_ankle_mean_cycle,0.92,-10.02
mocap_cmus35_walk_ankle_mean_cycle,0.93,-10.76
mocap_cmus35_walk_ankle_mean_cycle,0.94,-11.25
mocap_cmus35_walk_ankle_mean_cycle,0.95,-10.88
mocap_cmus35_walk_ankle_mean_cycle,0.96,-10.21
mocap_cmus35_walk_ankle_mean_cycle,0.97,-9.26
mocap_cmus35_walk_ankle_mean_cycle,0.98,-8.13
mocap_cmus35_walk_ankle_mean_cycle,0.99,-6.98
mocap_cmus35_walk_ankle_mean_cycle,1.0,-6.52
