series_id,x_fraction,y_deg
mocap_cmus35_walk_hip_mean_cycle,0.0,35.49
mocap_cmus35_walk_hip_mean_cycle,0.01,35.65
mocap_cmus35_walk_hip_mean_cycle,0.02,35.67
mocap_cmus35_walk_hip_mean_cycle,0.03,35.84
mocap_cmus35_walk_hip_mean_cycle,0.04,35.52
mocap_cmus35_walk_hip_mean_cycle,0.05,35.71
mocap_cmus35_walk_hip_mean_cycle,0.06,35.42
mocap_cmus35_walk_hip_mean_cycle,0.07,35.08
mocap_cmus35_walk_hip_mean_cycle,0.08,34.57
mocap_cmus35_walk_hip_mean_cycle,0.09,34.08
mocap_cmus35_walk_hip_mean_cycle,0.1,33.62
mocap_cmus35_walk_hip_mean_cycle,0.11,33.22
mocap_cmus35_walk_hip_mean_cycle,0.12,32.8
mocap_cmus35_walk_hip_mean_cycle,0.13,32.16
mocap_cmus35_walk_hip_mean_cycle,0.14,31.43
mocap_cmus35_walk_hip_mean_cycle,0.15,30.67
mocap_cmus35_walk_hip_mean_cycle,0.16,30.03
mocap_cmus35_walk_hip_mean_cycle,0.17,29.03
mocap_cmus35_walk_hip_mean_cycle,0.18,27.93
mocap_cmus35_walk_hip_mean_cycle,0.19,26.78
mocap_cmus35_walk_hip_mean_cycle,0.2,25.88
mocap_cmus35_walk_hip_mean_cycle,0.21,24.89
mocap_cmus35_walk_hip_mean_cycle,0.22,23.76
mocap_cmus35_walk_hip_mean_cycle,0.23,22.76
mocap_cmus35_walk_hip_mean_cycle,0.24,21.74
mocap_cmus35_walk_hip_mean_cycle,0.25,20.83
mocap_cmus35_walk_hip_mean_cycle,0.26,20.03
mocap_cmus35_walk_hip_mean_cycle,0.27,19.08
mocap_cmus35_walk_hip_mean_cycle,0.28,18.25
mocap_cmus35_walk_hip_mean_cycle,0.29,17.44
mocap_cmus35_walk_hip_mean_cycle,0.3,16.61
mocap_cmus35_walk_hip_mean_cycle,0.31,15.94
mocap_cmus35_walk_hip_mean_cycle,0.32,15.26
mocap_cmus35_walk_hip_mean_cycle,0.33,14.49
mocap_cmus35_walk_hip_mean_cycle,0.34,13.78
mocap_cmus35_walk_hip_mean_cycle,0.35,12.97
mocap_cmus35_walk_hip_mean_cycle,0.36,12.17
mocap_cmus35_walk_hip_mean_cycle,0.37,11.25
mocap_cmus35_walk_hip_mean_cycle,0.38,10.22
