series_id,x_fraction,y_deg
mocap_cmus35_walk_knee_mean_cycle,0.0,13.54
mocap_cmus35_walk_knee_mean_cycle,0.01,14.03
mocap_cmus35_walk_knee_mean_cycle,0.02,15.28
mocap_cmus35_walk_knee_mean_cycle,0.03,17.08
mocap_cmus35_walk_knee_mean_cycle,0.04,19.04
mocap_cmus35_walk_knee_mean_cycle,0.05,20.79
mocap_cmus35_walk_knee_mean_cycle,0.06,22.13
mocap_cmus35_walk_knee_mean_cycle,0.07,23.12
mocap_cmus35_walk_knee_mean_cycle,0.08,23.85
mocap_cmus35_walk_knee_mean_cycle,0.09,24.72
mocap_cmus35_walk_knee_mean_cycle,0.1,25.99
mocap_cmus35_walk_knee_mean_cycle,0.11,27.39
mocap_cmus35_walk_knee_mean_cycle,0.12,28.56
mocap_cmus35_walk_knee_mean_cycle,0.13,29.32
mocap_cmus35_walk_knee_mean_cycle,0.14,29.85
mocap_cmus35_walk_knee_mean_cycle,0.15,30.38
mocap_cmus35_walk_knee_mean_cycle,0.16,30.76
mocap_cmus35_walk_knee_mean_cycle,0.17,30.82
mocap_cmus35_walk_knee_mean_cycle,0.18,30.68
mocap_cmus35_walk_knee_mean_cycle,0.19,30.51
mocap_cmus35_walk_knee_mean_cycle,0.2,30.44
mocap_cmus35_walk_knee_mean_cycle,0.21,30.35
mocap_cmus35_walk_knee_mean_cycle,0.22,30.21
mocap_cmus35_walk_knee_mean_cycle,0.23,30.12
mocap_cmus35_walk_knee_mean_cycle,0.24,30.07
mocap_cmus35_walk_knee_mean_cycle,0.25,30.05
mocap_cmus35_walk_knee_mean_cycle,0.26,30.01
mocap_cmus35_walk_knee_mean_cycle,0.27,30.02
mocap_cmus35_walk_knee_mean_cycle,0.28,29.99
mocap_cmus35_walk_knee_mean_cycle,0.29,30.02
mocap_cmus35_walk_knee_mean_cycle,0.3,30.13
mocap_cmus35_walk_knee_mean_cycle,0.31,30.24
mocap_cmus35_walk_knee_mean_cycle,0.32,30.3
mocap_cmus35_walk_knee_mean_cycle,0.33,30.3
mocap_cmus35_walk_knee_mean_cycle,0.34,30.17
mocap_cmus35_walk_knee_mean_cycle,0.35,29.94
mocap_cmus35_walk_knee_mean_cycle,0.36,29.62
mocap_cmus35_walk_knee_mean_cycle,0.37,29.12
mocap_cmus35_walk_knee_mean_cycle,0.38,28.55
mocap_cmus35_walk_knee_mean_cycle,0.39,27.84
mocap_cmus35_walk_knee_mean_cycle,0.4,26.96
mocap_cmus35_walk_knee_mean_cycle,0.41,26.09
mocap_cmus35_walk_knee_mean_cycle,0.42,25.15
mocap_cmus35_walk_knee_mean_cycle,0.43,24.13
mocap_cmus35_walk_knee_mean_cycle,0.44,23.05
mocap_cmus35_walk_knee_mean_cycle,0.45,22.0
mocap_cmus35_walk_knee_mean_cycle,0.46,21.14
mocap_cmus35_walk_knee_mean_cycle,0.47,20.51
mocap_cmus35_walk_knee_mean_cycle,0.48,20.13
mocap_cmus35_walk_knee_mean_cycle,0.49,19.97
mocap_cmus35_walk_knee_mean_cycle,0.5,20.03
mocap_cmus35_walk_knee_mean_cycle,0.51,20.5
mocap_cmus35_walk_knee_mean_cycle,0.52,21.34
mocap_cmus35_walk_knee_mean_cycle,0.53,22.28
mocap_cmus35_walk_knee_mean_cycle,0.54,23.22
mocap_cmus35_walk_knee_mean_cycle,0.55,24.26
mocap_cmus35_walk_knee_mean_cycle,0.56,25.41
mocap_cmus35_walk_knee_mean_cycle,0.57,27.08
mocap_cmus35_walk_knee_mean_cycle,0.58,29.27
