tax_id	name_txt	unique_name	name_class
9539	macaque		common name
9539	macaques		genbank common name
9539	Macaca		scientific name
9540	Macaca arctoides Geoffroy Saint-Hilaire, 1830		authority
9540	bear macaque		common name
9540	stump-tail macaque		common name
9540	stump-tailed macaque		genbank common name
9540	Macaca arctoides		scientific name
9540	Macaca speciosa		synonym
9541	Macaca fascicularis Raffles, 1821		authority
9541	Simia fascicularis Raffles, 1821		authority
9541	cynomolgus macaque		common name
9541	cynomolgus monkey		common name
9541	cynomolgus monkeys		common name
9541	long-tailed macaque		common name
9541	crab-eating macaque		genbank common name
9541	Cynomolgus		includes
9541	Macaca fascicularis		scientific name
9541	Macaca cynomolgus		synonym
9541	Macaca irus		synonym
9541	Simia fascicularis		synonym
9541	USNM 83271	USNM 83271 <type material>	type material
9541	USNM-83271	USNM-83271 <type material>	type material
9541	USNM83271	USNM83271 <type material>	type material
9541	USNM:83271	USNM:83271 <type material>	type material
9542	Inuus fuscatus Blyth, 1875		authority
9542	Japanese monkey		common name
9542	Japanese monkeys		common name
9542	Japanese macaque	Japanese macaque <Macaca fuscata>	genbank common name
9542	Macaca fuscata		scientific name
9542	Inuus fuscatus		synonym
9543	Japanese macaque	Japanese macaque <Macaca fuscata fuscata>	genbank common name
9543	Macaca fuscata fuscata		scientific name
9544	Cercopithecus mulatta Zimmermann, 1780		authority
9544	Macaca mulatta (Zimmermann, 1780)		authority
9544	rhesus macaque		common name
9544	rhesus macaques		common name
9544	rhesus monkeys		common name
9544	Rhesus monkey		genbank common name
9544	Macaca mulatta		scientific name
9544	Cercopithecus mulatta		synonym
9544	USNM 20120	USNM 20120 <type material>	type material
9544	USNM-20120	USNM-20120 <type material>	type material
9544	USNM20120	USNM20120 <type material>	type material
9544	USNM:20120	USNM:20120 <type material>	type material
9545	Macaca nemestrina (Linnaeus, 1766)		authority
9545	Simia nemestrina Linnaeus, 1766		authority
9545	pigtail macaque		common name
9545	pigtail monkey		common name
9545	pig-tailed macaque		genbank common name
9545	Macaca nemestrina		scientific name
9545	Simia nemestrina		synonym
9545	USNM 19211	USNM 19211 <type material>	type material
9545	USNM-19211	USNM-19211 <type material>	type material
9545	USNM19211	USNM19211 <type material>	type material
9545	USNM:19211	USNM:19211 <type material>	type material
9546	Simia sylvanus Linnaeus, 1758		authority
9546	Barbary macaque		common name
9546	Barbary ape		genbank common name
9546	Macaca sylvanus		scientific name
9546	Simia sylvanus		synonym
9548	Cercocebus radiatus Geoffroy Saint-Hilaire, 1812		authority
9548	bonnet macaque		genbank common name
9548	Macaca radiata		scientific name
9548	Cercocebus radiatus		synonym
9549	Macaca sp.		scientific name
