tax_id	parent_tax_id	rank
9539	9528	genus
9540	9539	species
9541	9539	species
9542	9539	species
9543	9542	subspecies
9544	9539	species
9545	9539	species
9546	9539	species
9548	9539	species
9549	2623225	species
9551	9539	species
9552	9539	species
40843	9539	species
54600	9539	species
54601	9539	species
54602	9539	species
78449	9539	species
90381	9539	species
90382	9539	species
90383	9539	species
90384	9539	species
90385	9539	species
90386	9541	subspecies
90387	9539	species
90388	9545	subspecies
168259	9539	species
171293	9539	species
179089	9542	subspecies
230653	9539	species
244255	9539	species
257877	54602	subspecies
402888	9539	species
439030	9548	subspecies
1215360	9541	subspecies
1411634	9551	subspecies
1449913	9544	subspecies
1654737	9544	subspecies
1747270	9541	subspecies
1885588	9539	species
2008792	9544	subspecies
2623225	9539	no rank
2838830	2623225	species
3016450	9539	species
