Class,Lithologic group,n,Mean,Std,10th,25th,Median,75th,90th,75/25,90/10
Class I,Sedimentary,3698,26.05,27.53,5.49,9.27,18.10,31.58,54.96,3.41,10.00
Class I,Igneous,1631,62.77,73.57,8.86,21.01,42.93,77.86,136.27,3.71,15.38
Class I,Metamorphic,794,68.16,70.73,14.19,26.23,46.65,82.20,158.20,3.13,11.15
Class II,Biogenic,1870,29.11,32.12,5.31,8.58,19.08,36.99,62.32,4.31,11.74
Class II,Siliciclastic,1539,23.61,22.27,5.61,10.04,17.82,29.33,46.69,2.92,8.32
Class II,Siliciclastic/Biogenic,210,19.75,14.38,6.38,10.05,15.67,24.39,37.36,2.43,5.86
Class II,Chemical,79,18.05,19.09,5.60,6.87,10.76,21.82,39.76,3.18,7.11
Class II,Volcaniclastic,223,23.00,34.88,3.18,4.40,9.11,24.93,58.95,5.66,18.55
Class II,Volcanic,644,52.75,64.05,12.49,21.48,37.59,65.38,100.97,3.04,8.08
Class II,Plutonic,764,82.82,82.48,17.40,34.88,57.20,102.48,183.51,2.94,10.54
Class II,Low-grade,71,37.72,27.56,8.35,18.78,32.12,44.27,79.21,2.36,9.48
Class II,Medium-grade,77,74.81,67.74,10.44,20.47,50.79,124.86,193.37,6.10,18.52
Class II,High-grade,604,72.68,75.49,15.28,27.16,50.23,87.03,164.26,3.20,10.75
Class III,Shale,130,21.13,19.29,2.90,7.11,14.78,29.92,46.37,4.21,15.99
Class III,Mudstone,76,12.08,7.83,3.19,7.05,10.69,15.34,25.81,2.18,8.10
Class III,Siltstone,38,18.33,19.04,3.51,10.05,12.84,19.35,33.10,1.92,9.42
Class III,Sandstone,915,25.98,22.85,6.67,12.01,19.47,32.73,48.33,2.72,7.25
Class III,Sandstone (Greywacke),148,31.84,23.28,6.06,13.14,26.38,47.70,63.42,3.63,10.47
Class III,Conglomerate,129,15.61,13.64,2.25,4.86,12.47,22.64,30.50,4.66,13.53
Class III,Coal,70,21.80,14.90,9.62,11.12,18.52,25.79,37.36,2.32,3.88
Class III,Marl,136,17.93,13.43,4.32,9.02,14.28,22.57,32.12,2.50,7.43
Class III,Chalk,11,3.66,1.58,1.99,2.76,3.15,4.17,6.60,1.51,3.32
Class III,Limestone,1545,26.98,30.42,5.15,7.66,17.47,32.12,60.61,4.19,11.77
Class III,Dolostone,153,41.73,48.24,9.97,13.44,22.57,52.98,124.14,3.94,12.45
Class III,Travertine,121,41.27,26.19,14.07,24.11,35.96,51.39,78.41,2.13,5.57
Class III,Calcrete,24,10.40,6.30,4.86,6.78,8.38,11.84,21.43,1.75,4.40
Class III,Gypsum,28,8.88,3.43,5.55,6.30,8.71,10.91,14.89,1.73,2.68
Class III,Concretion,25,31.63,14.73,11.67,20.45,32.55,41.13,47.74,2.01,4.09
Class III,Tuff (Unwelded),63,9.47,9.81,3.10,3.92,5.41,11.58,17.84,2.95,5.75
Class III,Scoria,18,7.85,7.88,2.37,3.07,6.04,9.56,15.05,3.11,6.36
Class III,Breccia,16,34.93,34.09,7.03,12.59,24.84,41.27,109.75,3.28,15.60
Class III,Basalt (Vesicular),62,19.55,11.06,5.77,9.74,17.95,29.12,33.95,2.99,5.88
Class III,Basalt (Massive),111,50.74,25.27,24.21,30.79,46.91,67.31,81.17,2.19,3.35
Class III,Andesite,133,39.67,35.83,8.68,15.38,32.98,47.79,84.50,3.11,9.74
Class III,Rhyolite,45,80.26,111.10,21.93,30.99,58.71,93.35,148.87,3.01,6.79
Class III,Diabase,27,108.46,93.93,21.88,29.93,88.52,169.31,207.44,5.66,9.48
Class III,Ultramafic,60,130.08,68.08,35.57,61.71,151.65,187.39,214.32,3.04,6.03
Class III,Gabbro,77,40.37,76.24,7.69,10.59,21.01,34.83,71.77,3.29,9.34
Class III,Granodiorite,37,102.09,76.01,29.55,55.23,85.92,105.25,222.33,1.91,7.52
Class III,Granite,538,78.55,78.16,23.16,38.65,56.81,92.52,142.49,2.39,6.15
Class III,Slate,14,22.43,11.96,3.73,15.51,22.85,30.69,41.80,1.98,11.19
Class III,Phyllite,23,35.34,34.25,5.64,10.43,27.29,46.99,83.67,4.51,14.84
Class III,Schist,74,76.36,68.50,11.02,20.50,50.49,138.49,193.37,6.75,17.54
Class III,Gneiss,245,59.94,64.19,11.58,18.10,35.12,78.91,125.82,4.36,10.87
Class III,Migmatite,23,58.56,25.11,29.61,43.78,53.34,73.08,88.55,1.67,2.99
Class III,Marble,221,89.36,89.02,23.24,32.17,54.14,114.36,214.76,3.55,9.24
Class III,Quartzite,93,71.04,74.15,23.10,46.16,55.50,79.04,107.41,1.71,4.65
Class III,Granulite,24,90.73,37.53,60.63,67.31,72.63,102.82,163.22,1.53,2.69
